Series Name,"Series Code","Country Name","Country Code","2015 [YR2015]"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","El Salvador","SLV","-396350024.042298"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Equatorial Guinea","GNQ",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Eritrea","ERI",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Estonia","EST","140346638.373735"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Ethiopia","ETH","-2626517918.313"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Faroe Islands","FRO",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Fiji","FJI","-239314277.211572"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Finland","FIN","-18023726570.0924"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","France","FRA","36130892033.2982"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","French Polynesia","PYF","-3267219.21939577"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Gabon","GAB","-25253212.3377691"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Gambia, The","GMB","-74230000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Georgia","GEO","-1419607447.2"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Germany","DEU","56842205697.6296"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Ghana","GHA","-2970893676.55992"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Gibraltar","GIB",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Greece","GRC","313664376.493594"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Greenland","GRL",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Grenada","GRD","-135207147.804815"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guam","GUM",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guatemala","GTM","-1048092040"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guinea","GIN","-48257258.4212994"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guinea-Bissau","GNB","-16230041.4122476"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Guyana","GUY","-137700000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Haiti","HTI","-105680000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Honduras","HND","-951580322.068714"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Hong Kong SAR, China","HKG","-102532361408.386"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Hungary","HUN","-2672663288.52727"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Iceland","ISL","-695187948.262079"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","India","IND","-36495216490.7242"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Indonesia","IDN","-10704478316.6269"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Iran, Islamic Rep.","IRN",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Iraq","IRQ","7721900000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Ireland","IRL","-45344654145.2982"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Isle of Man","IMN",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Israel","ISR","-367800000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Italy","ITA","2120880782.65147"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Jamaica","JAM","-890764824.970039"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Japan","JPN","133162791214.283"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Jordan","JOR","-1599295774.64789"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Kazakhstan","KAZ","-3261447511.679"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Kenya","KEN","-377731883.379769"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Kiribati","KIR","941845.936180186"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Korea, Dem. People's Rep.","PRK",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Korea, Rep.","KOR","19583000000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Kosovo","XKX","-302274785.990721"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Kuwait","KWT","5154974475.20378"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Kyrgyz Republic","KGZ","-1009094000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Lao PDR","LAO","-1038062946.92912"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Latvia","LVA","-669889910.960656"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Lebanon","LBN","-1499077656.4"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Lesotho","LSO","-113220010.397593"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Liberia","LBR","-232679832.473779"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Libya","LBY","394900000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Liechtenstein","LIE",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Lithuania","LTU","-680317054.687213"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Luxembourg","LUX","79403740324.0255"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Macao SAR, China","MAC","-658054977.710649"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","North Macedonia","MKD","-230313801.403733"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Madagascar","MDG","-246135354.480032"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Malawi","MWI","-292852668.829506"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Malaysia","MYS","684808753.488057"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Maldives","MDV","-297975993.392527"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Mali","MLI","-193153992.706279"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Malta","MLT","-10232703292.3804"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Marshall Islands","MHL","5393638.49927042"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Mauritania","MRT","-501726765.733819"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Mauritius","MUS","-4506901282.31091"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Mexico","MEX","-25272769888"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Micronesia, Fed. Sts.","FSM",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Moldova","MDA","-218560000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Monaco","MCO",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Mongolia","MNG","-82911241.9430886"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Montenegro","MNE","-687462796.042968"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Morocco","MAR","-2596320889.57118"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Mozambique","MOZ","-3866831986.83"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Myanmar","MMR","-4083839111.71186"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Namibia","NAM","-734559243.831139"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Nauru","NRU","4437826.97410341"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Nepal","NPL","-51895699.9282915"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Netherlands","NLD","31592654988.9569"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","New Caledonia","NCL","-1145991624.77407"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","New Zealand","NZL","57648272.7633066"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Nicaragua","NIC","-922000000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Niger","NER","-495338338.194746"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Nigeria","NGA","-1628965267.75883"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Northern Mariana Islands","MNP",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Norway","NOR","14150870886.9077"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Oman","OMN","2507412223.6671"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Pakistan","PAK","-1648000000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Palau","PLW","-34583158.147185"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Panama","PAN","-3972100000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Papua New Guinea","PNG","-38653555.796989"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Paraguay","PRY","-320658410.194967"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Peru","PER","-7999614643.01505"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Philippines","PHL","-99650560.9468141"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Poland","POL","-10753000000"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Portugal","PRT","-2170813299.92913"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Puerto Rico (US)","PRI",".."
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Qatar","QAT","2952472527.47253"
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","Romania","ROU","-3287699498.3186"
