Series Name,"Series Code","Country Name","Country Code","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]"
"Population ages 30-34, male (% of male population)","SP.POP.3034.MA.5Y","United States","USA","7.16923035497869","6.97119804798897","6.77955840162323","6.69355880538076","6.70226974087355","6.74954283278014","6.8306173922534","6.93599996999744","7.02977268077864","7.09588925557029","7.13334680620541","7.14696689208544","7.15190854349223","7.15373526710964","7.17312308686778","7.2188420080988","7.28143342517929","7.34057699054216","7.36530698809102","7.33806952765934","7.25079532143788"
"Population ages 30-34, male (% of male population)","SP.POP.3034.MA.5Y","Ukraine","UKR","7.23302243379161","7.04620317736622","7.05333369570124","7.27182075502873","7.53369031776627","7.73944396106859","7.86248308827018","8.01819617037869","8.23008554177368","8.52515388536129","8.78138984599226","8.94004051171008","9.10449472082904","9.2592081377157","9.32071623451857","9.27855885970258","9.15547883297423","8.91743198547786","8.52037675963012","7.9603411608168","7.55662679795129"
,"","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 10/07/2025,"","","","","","","","","","","","","","","","","","","","","","","",""
